# wavelength (nm),nmf_reduced,nmf_oxidized,nmf_semiquinone,pure_oxidized,pure_reduced
3.670000000000000000e+02,3.175508516579820806e-01,1.499693419168814379e-01,2.869135961467256246e-02,2.899999999999999800e-01,1.859999999999999987e-01
3.680000000000000000e+02,3.136186839586856956e-01,1.505777136577604591e-01,3.593789476104109620e-02,2.889999999999999791e-01,1.839999999999999969e-01
3.690000000000000000e+02,3.105591887708613053e-01,1.530407889493071161e-01,2.990094396810507454e-02,2.899999999999999800e-01,1.819999999999999951e-01
3.700000000000000000e+02,3.071481751279516170e-01,1.543502903672065441e-01,3.035480874823264993e-02,2.889999999999999791e-01,1.799999999999999933e-01
3.710000000000000000e+02,3.026292479965311255e-01,1.600050067867495041e-01,3.936025184541081662e-02,2.899999999999999800e-01,1.789999999999999925e-01
3.720000000000000000e+02,2.982456160801872369e-01,1.623495513095272735e-01,3.621984726671188815e-02,2.899999999999999800e-01,1.749999999999999889e-01
3.730000000000000000e+02,2.941011838797729094e-01,1.672303400267519113e-01,4.279215821364828337e-02,2.919999999999999818e-01,1.719999999999999862e-01
3.740000000000000000e+02,2.888283889317691533e-01,1.725006307312520470e-01,4.688582686360449198e-02,2.929999999999999827e-01,1.689999999999999836e-01
3.750000000000000000e+02,2.829792861173809904e-01,1.763841341229538395e-01,5.611031500024066254e-02,2.929999999999999827e-01,1.659999999999999809e-01
3.760000000000000000e+02,2.778080760878249844e-01,1.793996210477655784e-01,6.215560431096640859e-02,2.919999999999999818e-01,1.630000000000000338e-01
3.770000000000000000e+02,2.715326572749365841e-01,1.816060367627457262e-01,6.834347462525598715e-02,2.909999999999999809e-01,1.590000000000000302e-01
3.780000000000000000e+02,2.669760268356655697e-01,1.814016566070472958e-01,7.031369316993771323e-02,2.889999999999999791e-01,1.570000000000000284e-01
3.790000000000000000e+02,2.617227412963548105e-01,1.828415597050158659e-01,7.923327740992142099e-02,2.869999999999999774e-01,1.550000000000000266e-01
3.800000000000000000e+02,2.573380840514082335e-01,1.818939055579188169e-01,7.591365344835736273e-02,2.830000000000000293e-01,1.520000000000000240e-01
3.810000000000000000e+02,2.513367625083825496e-01,1.785987990672144865e-01,8.182320996243663824e-02,2.760000000000000231e-01,1.480000000000000204e-01
3.820000000000000000e+02,2.456645367129251800e-01,1.713413787041908609e-01,9.058854035340561939e-02,2.690000000000000169e-01,1.450000000000000178e-01
3.830000000000000000e+02,2.405211382060088443e-01,1.659210935872709736e-01,9.341054431304679495e-02,2.620000000000000107e-01,1.430000000000000160e-01
3.840000000000000000e+02,2.360928342233073740e-01,1.571360909074661638e-01,9.363546214496662468e-02,2.520000000000000018e-01,1.410000000000000142e-01
3.850000000000000000e+02,2.296352563382696166e-01,1.496188876958652603e-01,1.011349262466773036e-01,2.419999999999999929e-01,1.360000000000000098e-01
3.860000000000000000e+02,2.238618643330655689e-01,1.402652684847568720e-01,1.038591993295462090e-01,2.309999999999999831e-01,1.320000000000000062e-01
3.870000000000000000e+02,2.184179104956811557e-01,1.280746375177988228e-01,1.063677254313896703e-01,2.190000000000000280e-01,1.300000000000000044e-01
3.880000000000000000e+02,2.138722172201036886e-01,1.192418465513163661e-01,9.694681364906021503e-02,2.100000000000000200e-01,1.280000000000000027e-01
3.890000000000000000e+02,2.077163132623018882e-01,1.095887758703835702e-01,9.881949982486841477e-02,2.000000000000000111e-01,1.250000000000000000e-01
3.900000000000000000e+02,2.031687195305136862e-01,9.952799720328445177e-02,9.099072065370453211e-02,1.890000000000000013e-01,1.220000000000000112e-01
3.910000000000000000e+02,1.979615883281958533e-01,9.353001154193367472e-02,8.052277221356050896e-02,1.809999999999999942e-01,1.190000000000000085e-01
3.920000000000000000e+02,1.932103370714250978e-01,8.814136640670040823e-02,7.721118423476427961e-02,1.740000000000000158e-01,1.150000000000000050e-01
3.930000000000000000e+02,1.889672835812695184e-01,8.369546444352826686e-02,6.430811164626168419e-02,1.690000000000000113e-01,1.130000000000000032e-01
3.940000000000000000e+02,1.835755283600014054e-01,7.998719653725891443e-02,6.364557247062575807e-02,1.630000000000000060e-01,1.110000000000000014e-01
3.950000000000000000e+02,1.789393674324896988e-01,7.695703402036931096e-02,6.186947204340496193e-02,1.580000000000000016e-01,1.089999999999999997e-01
3.960000000000000000e+02,1.745743001672894201e-01,7.647422906302603351e-02,5.765000772594151141e-02,1.559999999999999998e-01,1.059999999999999970e-01
3.970000000000000000e+02,1.706411641283850644e-01,7.577434065487362314e-02,5.131254209646537306e-02,1.539999999999999980e-01,1.029999999999999943e-01
3.980000000000000000e+02,1.662583948887862706e-01,7.725385536402577802e-02,4.841365241222744809e-02,1.519999999999999962e-01,1.009999999999999926e-01
3.990000000000000000e+02,1.620009290552182901e-01,7.825809208439302167e-02,4.716285539263281174e-02,1.509999999999999953e-01,9.900000000000001854e-02
4.000000000000000000e+02,1.584441432978660191e-01,7.978096202979621798e-02,4.902824942798741925e-02,1.499999999999999944e-01,9.700000000000001676e-02
4.010000000000000000e+02,1.543695481279184767e-01,8.193006609972236509e-02,4.445024538631983657e-02,1.479999999999999927e-01,9.500000000000001499e-02
4.020000000000000000e+02,1.508730944245719741e-01,8.623719037218667560e-02,4.751901876480468800e-02,1.499999999999999944e-01,9.200000000000001232e-02
4.030000000000000000e+02,1.462715240778372505e-01,9.072061641344485172e-02,4.842595820988874339e-02,1.519999999999999962e-01,8.900000000000000966e-02
4.040000000000000000e+02,1.430049324577150061e-01,9.503721867668928069e-02,5.073986928483778525e-02,1.539999999999999980e-01,8.800000000000000877e-02
4.050000000000000000e+02,1.397020148536174400e-01,9.954343138520722889e-02,5.260890993033449925e-02,1.559999999999999998e-01,8.600000000000000699e-02
4.060000000000000000e+02,1.370762161802375756e-01,1.058036247008957847e-01,4.976578481897583894e-02,1.590000000000000024e-01,8.400000000000000522e-02
4.070000000000000000e+02,1.334961306828697791e-01,1.128188348504961802e-01,5.558447402815932387e-02,1.630000000000000060e-01,8.200000000000000344e-02
4.080000000000000000e+02,1.309026670542226822e-01,1.189140628400537220e-01,5.574127829123792788e-02,1.660000000000000087e-01,8.100000000000000255e-02
4.090000000000000000e+02,1.283340207963898361e-01,1.262004640065401140e-01,5.655011382146517274e-02,1.700000000000000122e-01,7.900000000000000078e-02
4.100000000000000000e+02,1.257745711471310313e-01,1.334477594938438261e-01,6.288709017461598105e-02,1.740000000000000158e-01,7.799999999999999989e-02
4.110000000000000000e+02,1.233458648954159076e-01,1.391655744110250892e-01,6.107919001407823706e-02,1.779999999999999916e-01,7.599999999999999811e-02
4.120000000000000000e+02,1.202790273757929213e-01,1.473066983326560275e-01,6.595854754173798018e-02,1.829999999999999960e-01,7.499999999999999722e-02
4.130000000000000000e+02,1.184025350605402982e-01,1.540975177669266227e-01,6.651860012993053572e-02,1.880000000000000004e-01,7.399999999999999634e-02
4.140000000000000000e+02,1.161756370111418218e-01,1.607109217766401199e-01,6.721697917273081191e-02,1.920000000000000040e-01,7.199999999999999456e-02
4.150000000000000000e+02,1.128205411074835046e-01,1.687111952728930220e-01,7.400049622905667535e-02,1.970000000000000084e-01,6.999999999999999278e-02
4.160000000000000000e+02,1.108623475832587468e-01,1.740691026888708526e-01,7.458751288096036880e-02,2.000000000000000111e-01,6.900000000000001965e-02
4.170000000000000000e+02,1.089851752315699751e-01,1.769087160610318399e-01,7.901842739660633330e-02,2.010000000000000120e-01,6.800000000000001876e-02
4.180000000000000000e+02,1.069796841079527772e-01,1.819234453846841904e-01,8.174211574993686669e-02,2.040000000000000147e-01,6.700000000000001787e-02
4.190000000000000000e+02,1.043178953335389542e-01,1.853391416476223019e-01,8.401899013730501631e-02,2.060000000000000164e-01,6.500000000000001610e-02
4.200000000000000000e+02,1.017529585367939610e-01,1.895455657065551469e-01,8.903399894146715732e-02,2.080000000000000182e-01,6.500000000000001610e-02
4.210000000000000000e+02,9.956811551955567496e-02,1.926433564704460311e-01,9.255009574548157814e-02,2.100000000000000200e-01,6.300000000000001432e-02
4.220000000000000000e+02,9.761479264969109837e-02,1.944687101633467419e-01,9.277435591034255413e-02,2.110000000000000209e-01,6.200000000000001343e-02
4.230000000000000000e+02,9.519285592905346594e-02,1.980347432703550570e-01,9.813583359360458780e-02,2.120000000000000218e-01,6.000000000000001166e-02
4.240000000000000000e+02,9.342832514203901206e-02,2.002314742526651037e-01,1.001837370168398855e-01,2.130000000000000226e-01,5.900000000000001077e-02
4.250000000000000000e+02,9.184424467193356978e-02,2.037132658366513083e-01,1.034227443123279244e-01,2.150000000000000244e-01,5.800000000000000988e-02
4.260000000000000000e+02,8.983264247792092927e-02,2.070578621946091435e-01,1.056898288704360700e-01,2.160000000000000253e-01,5.700000000000000899e-02
4.270000000000000000e+02,8.784150990294008199e-02,2.105998174014685476e-01,1.104941106235655945e-01,2.190000000000000280e-01,5.500000000000000722e-02
4.280000000000000000e+02,8.697912072072748468e-02,2.156059624071312575e-01,1.094140765853462705e-01,2.220000000000000306e-01,5.500000000000000722e-02
4.290000000000000000e+02,8.472281092552781667e-02,2.213286350149686332e-01,1.159986224299585367e-01,2.249999999999999778e-01,5.400000000000000633e-02
4.300000000000000000e+02,8.312151930933751875e-02,2.274198788011408956e-01,1.179164908419428753e-01,2.289999999999999813e-01,5.300000000000000544e-02
4.310000000000000000e+02,8.212204778374834757e-02,2.343279856259728455e-01,1.187754869585079531e-01,2.339999999999999858e-01,5.300000000000000544e-02
4.320000000000000000e+02,7.969073902698139977e-02,2.428364956574382560e-01,1.237490498932089095e-01,2.389999999999999902e-01,5.200000000000000455e-02
4.330000000000000000e+02,7.837892390089178096e-02,2.500306078109368890e-01,1.266986653412864317e-01,2.439999999999999947e-01,5.100000000000000366e-02
4.340000000000000000e+02,7.638239504182144091e-02,2.577776769942892732e-01,1.316507336048680921e-01,2.489999999999999991e-01,5.000000000000000278e-02
4.350000000000000000e+02,7.438770982414089072e-02,2.673663960401551076e-01,1.362207891086997524e-01,2.560000000000000053e-01,4.800000000000000100e-02
4.360000000000000000e+02,7.261097712706125751e-02,2.743841395504146852e-01,1.419837762482693555e-01,2.600000000000000089e-01,4.700000000000000011e-02
4.370000000000000000e+02,7.087453173720864585e-02,2.824085495658360534e-01,1.467733466559041355e-01,2.660000000000000142e-01,4.600000000000001310e-02
4.380000000000000000e+02,6.906650854553599006e-02,2.899916085539097632e-01,1.498418004651951574e-01,2.710000000000000187e-01,4.600000000000001310e-02
4.390000000000000000e+02,6.796584011296676053e-02,2.967911928682265832e-01,1.525657718111419481e-01,2.760000000000000231e-01,4.500000000000001221e-02
4.400000000000000000e+02,6.629586787611603527e-02,3.020725592329631670e-01,1.567735808149222088e-01,2.790000000000000258e-01,4.300000000000001044e-02
4.410000000000000000e+02,6.543900093897631054e-02,3.071082327599325978e-01,1.547750895227592294e-01,2.830000000000000293e-01,4.200000000000000955e-02
4.420000000000000000e+02,6.436262912247814327e-02,3.097860428189444515e-01,1.572358127744132583e-01,2.850000000000000311e-01,4.200000000000000955e-02
4.430000000000000000e+02,6.272999653048931534e-02,3.122907605270502929e-01,1.623847906124951390e-01,2.859999999999999765e-01,4.100000000000000866e-02
4.440000000000000000e+02,6.130990442400276880e-02,3.138228901857127995e-01,1.653798355485098792e-01,2.859999999999999765e-01,4.100000000000000866e-02
4.450000000000000000e+02,5.950051075438535231e-02,3.150741340750269348e-01,1.673728922528406049e-01,2.859999999999999765e-01,3.900000000000000688e-02
4.460000000000000000e+02,5.805039105122775794e-02,3.124184800661283234e-01,1.685212874726553511e-01,2.830000000000000293e-01,3.900000000000000688e-02
4.470000000000000000e+02,5.710277131374028731e-02,3.096724895060099514e-01,1.687152108090132219e-01,2.800000000000000266e-01,3.800000000000000600e-02
4.480000000000000000e+02,5.524685316317246714e-02,3.057103666294099797e-01,1.743150990118044474e-01,2.760000000000000231e-01,3.700000000000000511e-02
4.490000000000000000e+02,5.408538505812270081e-02,2.967119644889941732e-01,1.754216805180399685e-01,2.690000000000000169e-01,3.600000000000000422e-02
4.500000000000000000e+02,5.238409402434334589e-02,2.917727579928014459e-01,1.789052030235143143e-01,2.640000000000000124e-01,3.600000000000000422e-02
4.510000000000000000e+02,5.101577001971090153e-02,2.855477596276134178e-01,1.812739323053200458e-01,2.580000000000000071e-01,3.500000000000000333e-02
4.520000000000000000e+02,4.956593649676412083e-02,2.791078014220293446e-01,1.822325647998916942e-01,2.520000000000000018e-01,3.400000000000000244e-02
4.530000000000000000e+02,4.826630807968029097e-02,2.729689410309777409e-01,1.853848625363070934e-01,2.469999999999999973e-01,3.400000000000000244e-02
4.540000000000000000e+02,4.726939529648496036e-02,2.678365128335957746e-01,1.829869609718997314e-01,2.419999999999999929e-01,3.300000000000000155e-02
4.550000000000000000e+02,4.679916413528538432e-02,2.639312079708356906e-01,1.831256309884981837e-01,2.389999999999999902e-01,3.300000000000000155e-02
4.560000000000000000e+02,4.523761124874640244e-02,2.602886292510945832e-01,1.874597824565079063e-01,2.349999999999999867e-01,3.200000000000000067e-02
4.570000000000000000e+02,4.392731555705382124e-02,2.584973474347512234e-01,1.910660336867901488e-01,2.319999999999999840e-01,3.099999999999999978e-02
4.580000000000000000e+02,4.326091608263149535e-02,2.581267635469180477e-01,1.874214639619289635e-01,2.319999999999999840e-01,3.099999999999999978e-02
4.590000000000000000e+02,4.169574191499405419e-02,2.584680201689407708e-01,1.910591107131120459e-01,2.309999999999999831e-01,3.000000000000001277e-02
4.600000000000000000e+02,4.056478860233240363e-02,2.584223020871042054e-01,1.943194225998582936e-01,2.299999999999999822e-01,2.900000000000001188e-02
4.610000000000000000e+02,4.021818463054561282e-02,2.609926331005280042e-01,1.914502575342121315e-01,2.329999999999999849e-01,2.900000000000001188e-02
4.620000000000000000e+02,3.985509213405038359e-02,2.619537082260823269e-01,1.941095330649203476e-01,2.329999999999999849e-01,2.900000000000001188e-02
4.630000000000000000e+02,3.867130504676494218e-02,2.655952885339633029e-01,1.963857102366760310e-01,2.349999999999999867e-01,2.800000000000001099e-02
4.640000000000000000e+02,3.811808028565029371e-02,2.693253178989821195e-01,1.982663753681004060e-01,2.369999999999999885e-01,2.800000000000001099e-02
4.650000000000000000e+02,3.748129772481378907e-02,2.724107294995440354e-01,2.003425806944965082e-01,2.389999999999999902e-01,2.700000000000001010e-02
4.660000000000000000e+02,3.661538781897439448e-02,2.752815385780612578e-01,2.045389041428122001e-01,2.399999999999999911e-01,2.700000000000001010e-02
4.670000000000000000e+02,3.655491579314130296e-02,2.774022591082924150e-01,2.008267122253478143e-01,2.419999999999999929e-01,2.700000000000001010e-02
4.680000000000000000e+02,3.545925737602487193e-02,2.781332067774425210e-01,2.063712247625018037e-01,2.419999999999999929e-01,2.600000000000000921e-02
4.690000000000000000e+02,3.497084003145756875e-02,2.787385699776737114e-01,2.063587393946262893e-01,2.429999999999999938e-01,2.600000000000000921e-02
4.700000000000000000e+02,3.413579561823028991e-02,2.781125636198993334e-01,2.085669374110402097e-01,2.419999999999999929e-01,2.600000000000000921e-02
4.710000000000000000e+02,3.401006853900778726e-02,2.771500450424506101e-01,2.054687040841818302e-01,2.409999999999999920e-01,2.600000000000000921e-02
4.720000000000000000e+02,3.301943899929777465e-02,2.760462640521427202e-01,2.065538561755288216e-01,2.389999999999999902e-01,2.500000000000000833e-02
4.730000000000000000e+02,3.233171650240866668e-02,2.717040598241570182e-01,2.107876294998320410e-01,2.349999999999999867e-01,2.400000000000000744e-02
4.740000000000000000e+02,3.189019807947440777e-02,2.667858066502061254e-01,2.108921960691209907e-01,2.309999999999999831e-01,2.400000000000000744e-02
4.750000000000000000e+02,3.098174944994504937e-02,2.556721908207385541e-01,2.109699477547401225e-01,2.220000000000000306e-01,2.400000000000000744e-02
4.760000000000000000e+02,3.099908553966951308e-02,2.456447264756660975e-01,2.065859737946570407e-01,2.140000000000000235e-01,2.400000000000000744e-02
4.770000000000000000e+02,3.028226354554657690e-02,2.341203509914285275e-01,2.088512244726368206e-01,2.040000000000000147e-01,2.300000000000000655e-02
4.780000000000000000e+02,3.009153172624826761e-02,2.209243109879334144e-01,2.047893972432120180e-01,1.940000000000000058e-01,2.300000000000000655e-02
4.790000000000000000e+02,2.905592913370989502e-02,2.063647300314098154e-01,2.059442364139781878e-01,1.819999999999999951e-01,2.200000000000000566e-02
4.800000000000000000e+02,2.824243838520988995e-02,1.902369910743002823e-01,2.060386028242988665e-01,1.690000000000000113e-01,2.100000000000000477e-02
4.810000000000000000e+02,2.785873814655334332e-02,1.736427468523130957e-01,1.981676849763079895e-01,1.559999999999999998e-01,2.100000000000000477e-02
4.820000000000000000e+02,2.665634379046857849e-02,1.547613877596498710e-01,1.999710258214122405e-01,1.400000000000000133e-01,2.100000000000000477e-02
4.830000000000000000e+02,2.496654110420490694e-02,1.378084193901631394e-01,1.993713531252062354e-01,1.260000000000000009e-01,2.000000000000000389e-02
4.840000000000000000e+02,2.441804953602615819e-02,1.240361696603579783e-01,1.979881032340991831e-01,1.149999999999999911e-01,2.000000000000000389e-02
4.850000000000000000e+02,2.462980644509201941e-02,1.091845005664597440e-01,1.997881566651983076e-01,1.040000000000000091e-01,2.000000000000000389e-02
4.860000000000000000e+02,2.490060075858598759e-02,9.525084903163608119e-02,1.924370114764532014e-01,9.299999999999999933e-02,2.000000000000000389e-02
4.870000000000000000e+02,2.346235169468202306e-02,8.286606918455670379e-02,1.940098311149484889e-01,8.200000000000001732e-02,1.900000000000000300e-02
4.880000000000000000e+02,2.360644381841620759e-02,7.188728695439770833e-02,1.918370425855326356e-01,7.300000000000000933e-02,1.900000000000000300e-02
4.890000000000000000e+02,2.341190769239080011e-02,6.265624203441363949e-02,1.935021583494150599e-01,6.600000000000000311e-02,1.900000000000000300e-02
4.900000000000000000e+02,2.310196578139333407e-02,5.359390455809116133e-02,1.924702278842610748e-01,5.800000000000000294e-02,1.900000000000000300e-02
4.910000000000000000e+02,2.257072717172529247e-02,4.629635202842961178e-02,1.943835833960350090e-01,5.099999999999999672e-02,1.900000000000000300e-02
4.920000000000000000e+02,2.217812047894930638e-02,3.997125025630271500e-02,1.952637910552757761e-01,4.599999999999999228e-02,1.900000000000000300e-02
4.930000000000000000e+02,2.247797488839948718e-02,3.163970201019367101e-02,1.931200673016834624e-01,4.000000000000000083e-02,1.900000000000000300e-02
4.940000000000000000e+02,2.211984288845621205e-02,2.777420147630254091e-02,1.936933862438554310e-01,3.599999999999999728e-02,1.900000000000000300e-02
4.950000000000000000e+02,2.219113699031345990e-02,2.461981915441831606e-02,1.915592057150050098e-01,3.299999999999999462e-02,1.900000000000000300e-02
4.960000000000000000e+02,2.207353873078129330e-02,2.114445245852911506e-02,1.908302968955958856e-01,2.999999999999999195e-02,1.900000000000000300e-02
4.970000000000000000e+02,2.176317826049624371e-02,1.892403055473305257e-02,1.921058135883676743e-01,2.799999999999999017e-02,1.900000000000000300e-02
4.980000000000000000e+02,2.107599537695240693e-02,1.723512949473634745e-02,1.940983742400524681e-01,2.600000000000000228e-02,1.900000000000000300e-02
4.990000000000000000e+02,2.153796944316435300e-02,1.462722773965970287e-02,1.910049223339842506e-01,2.400000000000000050e-02,1.900000000000000300e-02
5.000000000000000000e+02,2.152536607373118152e-02,1.307333514088930906e-02,1.915247178681172280e-01,2.299999999999999961e-02,1.900000000000000300e-02
5.010000000000000000e+02,2.151556782956941943e-02,1.237938500981702362e-02,1.944252589004820397e-01,2.199999999999999872e-02,1.900000000000000300e-02
5.020000000000000000e+02,2.117337345981334940e-02,1.038747734807936654e-02,1.916534669499749821e-01,1.999999999999999695e-02,1.800000000000000211e-02
5.030000000000000000e+02,2.081561390155748509e-02,1.042021144799552303e-02,1.937891014137635703e-01,1.999999999999999695e-02,1.800000000000000211e-02
5.040000000000000000e+02,2.092191369915141416e-02,9.003539423690927468e-03,1.915559490686685462e-01,1.899999999999999606e-02,1.900000000000000300e-02
5.050000000000000000e+02,2.104423223480660771e-02,8.151835569612821825e-03,1.912214246470930468e-01,1.799999999999999517e-02,1.800000000000000211e-02
5.060000000000000000e+02,2.114475934441965854e-02,8.220728096556767853e-03,1.869720615428171473e-01,1.799999999999999517e-02,1.800000000000000211e-02
5.070000000000000000e+02,2.051457196337896222e-02,8.253078081060074081e-03,1.883499691799251918e-01,1.799999999999999517e-02,1.700000000000000122e-02
5.080000000000000000e+02,2.043437558391657249e-02,6.812850956281209236e-03,1.879220715981194112e-01,1.699999999999999428e-02,1.700000000000000122e-02
5.090000000000000000e+02,1.990952681227850171e-02,6.315294754076813954e-03,1.910658352077574118e-01,1.599999999999999339e-02,1.800000000000000211e-02
5.100000000000000000e+02,1.963268538067984917e-02,6.696494012891318105e-03,1.881045363107553270e-01,1.599999999999999339e-02,1.700000000000000122e-02
5.110000000000000000e+02,1.951333221497924750e-02,6.435426082855419741e-03,1.878432146025982297e-01,1.599999999999999339e-02,1.700000000000000122e-02
