7/8/2000 7:16 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.04333	
//WLCalib: 261S 	-0.46000	
//WLCalib: 362S 	-0.29000	
//WLCalib: 484S 	-0.24000	
//WLCalib: 529S 	-0.30000	
//WLCalib: 823S 	-0.76000	
//QSpecEnd: 
380.0	0.123
380.5	0.123
381.0	0.123
381.5	0.123
382.0	0.122
382.5	0.122
383.0	0.121
383.5	0.121
384.0	0.120
384.5	0.120
385.0	0.120
385.5	0.119
386.0	0.118
386.5	0.118
387.0	0.117
387.5	0.116
388.0	0.116
388.5	0.115
389.0	0.114
389.5	0.114
390.0	0.113
390.5	0.112
391.0	0.111
391.5	0.111
392.0	0.110
392.5	0.109
393.0	0.108
393.5	0.108
394.0	0.108
394.5	0.107
395.0	0.107
395.5	0.106
396.0	0.106
396.5	0.105
397.0	0.105
397.5	0.104
398.0	0.104
398.5	0.103
399.0	0.103
399.5	0.103
400.0	0.102
400.5	0.101
401.0	0.101
401.5	0.100
402.0	0.100
402.5	0.099
403.0	0.099
403.5	0.099
404.0	0.099
404.5	0.098
405.0	0.098
405.5	0.098
406.0	0.097
406.5	0.097
407.0	0.096
407.5	0.096
408.0	0.095
408.5	0.095
409.0	0.094
409.5	0.094
410.0	0.093
410.5	0.093
411.0	0.092
411.5	0.092
412.0	0.091
412.5	0.091
413.0	0.090
413.5	0.090
414.0	0.090
414.5	0.089
415.0	0.089
415.5	0.089
416.0	0.089
416.5	0.088
417.0	0.088
417.5	0.088
418.0	0.087
418.5	0.087
419.0	0.086
419.5	0.086
420.0	0.086
420.5	0.085
421.0	0.085
421.5	0.084
422.0	0.085
422.5	0.085
423.0	0.084
423.5	0.084
424.0	0.084
424.5	0.084
425.0	0.084
425.5	0.083
426.0	0.083
426.5	0.083
427.0	0.082
427.5	0.082
428.0	0.081
428.5	0.081
429.0	0.081
429.5	0.080
430.0	0.079
430.5	0.079
431.0	0.079
431.5	0.078
432.0	0.078
432.5	0.078
433.0	0.078
433.5	0.078
434.0	0.078
434.5	0.078
435.0	0.078
435.5	0.078
436.0	0.078
436.5	0.078
437.0	0.077
437.5	0.077
438.0	0.077
438.5	0.076
439.0	0.076
439.5	0.076
440.0	0.076
440.5	0.075
441.0	0.074
441.5	0.074
442.0	0.073
442.5	0.073
443.0	0.073
443.5	0.073
444.0	0.073
444.5	0.073
445.0	0.073
445.5	0.074
446.0	0.073
446.5	0.073
447.0	0.073
447.5	0.073
448.0	0.072
448.5	0.072
449.0	0.071
449.5	0.071
450.0	0.071
450.5	0.071
451.0	0.071
451.5	0.071
452.0	0.071
452.5	0.070
453.0	0.070
453.5	0.069
454.0	0.069
454.5	0.069
455.0	0.069
455.5	0.069
456.0	0.069
456.5	0.069
457.0	0.069
457.5	0.069
458.0	0.068
458.5	0.068
459.0	0.068
459.5	0.067
460.0	0.067
460.5	0.067
461.0	0.067
461.5	0.067
